model_name,simple_ppl,normal_ppl,num_tokens_simple,num_tokens_normal
german_gpt,31.814186096191406,77.75936889648438,5658,5714
german_gpt_orig,47.1863899230957,31.492124557495117,5658,5714
wechsel,25.992549896240234,69.2911376953125,5668,5736
wechsel_orig,38.97715759277344,34.80414581298828,5668,5736
gerpt2,25.350086212158203,53.73534393310547,5653,5712
gerpt2_orig,51.31043243408203,56.41552734375,5653,5712
oscar,34.24207305908203,112.74580383300781,5677,5761
oscar_orig,59.308448791503906,66.22430419921875,5677,5761
mGPT,24.93130684,99.527771,6385,6784
mGPT_orig,25.04922295,19.17886353,6385,6784
